,ProxTarget,DistTarget,ECAVCProx,ECAVCDist,DNNProx,DNNDist,NewProx,NewDist
0,-60,-60,-2.256781849,-8.424633173,-2.678164959,-7.778976917,-1.44866437807759,-7.12094334813686
1,-60,-45,-2.582704305,-7.208592798,-2.99716711,-6.527694225,-1.97661620207530,-6.23082542961976
2,-60,-30,-2.908626762,-5.992552424,-3.129342318,-5.53252697,-2.50456802607301,-5.34070751110265
3,-60,-15,-3.234549218,-4.776512049,-3.039994717,-4.528889179,-3.03251985007072,-4.45058959258554
4,-60,0,-3.560471674,-3.560471674,-3.997267008,-3.195491552,-3.56047167406843,-3.56047167406843
5,-60,15,-3.88639413,-2.344431299,-4.118863106,-1.562444925,-4.08842349806614,-2.67035375555132
6,-60,30,-4.212316586,-1.128390925,-4.843627453,0.030899882,-4.61637532206385,-1.78023583703422
7,-60,45,-4.538239043,0.08764945,-5.346229553,1.681651592,-5.14432714606156,-0.890117918517108
8,-60,60,-4.864161499,1.303689825,-6.211201668,2.953528881,-5.67227897005927,-4.44089209850063e-16
9,-45,-60,-1.340162399,-7.561016786,-1.375732303,-7.035089493,-0.558546459560485,-6.23082542961976
10,-45,-45,-1.672710238,-6.338351028,-1.944339514,-5.726410866,-1.08649828355819,-5.34070751110265
11,-45,-30,-2.005258077,-5.115685271,-2.160324574,-4.55459547,-1.61445010755590,-4.45058959258554
12,-45,-15,-2.337805916,-3.893019513,-2.292978048,-3.564103842,-2.14240193155361,-3.56047167406843
13,-45,0,-2.670353756,-2.670353756,-3.624137878,-2.194132328,-2.67035375555132,-2.67035375555132
14,-45,15,-3.002901595,-1.447687998,-3.436290264,-1.031905174,-3.19830557954903,-1.78023583703422
15,-45,30,-3.335449434,-0.22502224,-4.465263367,1.059465885,-3.72625740354674,-0.890117918517108
16,-45,45,-3.667997273,0.997643517,-4.200525284,1.976335287,-4.25420922754445,-4.44089209850063e-16
17,-45,60,-4.000545112,2.220309275,-4.461510658,3.421122789,-4.78216105154216,0.890117918517107
18,-30,-60,-0.424301078,-6.696642271,-0.480837166,-6.096113205,0.331571458956623,-5.34070751110265
19,-30,-45,-0.763284767,-5.467540662,-0.551551998,-5.068604469,-0.196380365041087,-4.45058959258554
20,-30,-30,-1.102268457,-4.238439054,-1.060011387,-3.839273691,-0.724332189038797,-3.56047167406843
21,-30,-15,-1.441252147,-3.009337445,-1.229422808,-2.853235722,-1.25228401303651,-2.67035375555132
22,-30,0,-1.780235837,-1.780235837,-2.690552235,-1.510061264,-1.78023583703422,-1.78023583703422
23,-30,15,-2.119219527,-0.551134229,-2.152672291,-0.054386795,-2.30818766103193,-0.890117918517108
24,-30,30,-2.458203217,0.67796738,-2.218180895,1.13857317,-2.83613948502964,-2.22044604925031e-16
25,-30,45,-2.797186907,1.907068988,-3.635920763,2.866209269,-3.36409130902735,0.890117918517108
26,-30,60,-3.136170596,3.136170596,-3.212610722,3.98562479,-3.89204313302505,1.78023583703422
27,-15,-60,0.490802115,-5.831509626,1.037290096,-5.432870865,1.22168937747373,-4.45058959258554
28,-15,-45,0.145572107,-4.596161699,0.053457789,-4.172025204,0.693737553476021,-3.56047167406843
29,-15,-30,-0.199657902,-3.360813772,-0.097186156,-3.117357969,0.165785729478311,-2.67035375555132
30,-15,-15,-0.54488791,-2.125465845,-0.219438747,-2.040072918,-0.362166094519398,-1.78023583703422
31,-15,0,-0.890117919,-0.890117919,-0.88502878,-0.929356456,-0.890117918517108,-0.890117918517108
32,-15,15,-1.235347927,0.345230008,-1.250123262,0.8088395,-1.41806974251482,-1.11022302462516e-16
33,-15,30,-1.580577935,1.580577935,-1.199705005,1.882142425,-1.94602156651253,0.890117918517108
34,-15,45,-1.925807944,2.815925862,-2.488787651,3.257020473,-2.47397339051024,1.78023583703422
35,-15,60,-2.271037952,4.051273789,-2.186332464,4.750746727,-3.00192521450795,2.67035375555132
36,0,-60,1.405147179,-4.965618853,1.978332162,-4.918967247,2.11180729599084,-3.56047167406843
37,0,-45,1.053860384,-3.72421414,1.301256061,-3.188003302,1.58385547199313,-2.67035375555132
38,0,-30,0.70257359,-2.482809427,0.929480433,-2.102644444,1.05590364799542,-1.78023583703422
39,0,-15,0.351286795,-1.241404713,0.553095162,-1.128383636,0.527951823997710,-0.890117918517108
40,0,0,0.0,0.0,0.064289533,-0.093430638,0,0
41,0,15,-0.351286795,1.241404713,-0.116374381,1.168502331,-0.527951823997710,0.890117918517108
42,0,30,-0.70257359,2.482809427,-0.874112666,2.723051786,-1.05590364799542,1.78023583703422
43,0,45,-1.053860384,3.72421414,-1.099974036,4.096005917,-1.58385547199313,2.67035375555132
44,0,60,-1.405147179,4.965618853,-1.027216315,5.265860558,-2.11180729599084,3.56047167406843
45,15,-60,2.318734114,-4.098969951,2.768990517,-4.050355434,3.00192521450795,-2.67035375555132
46,15,-45,1.961580065,-2.851697984,2.079401493,-2.855629444,2.47397339051024,-1.78023583703422
47,15,-30,1.604426016,-1.604426016,1.852463603,-1.771384478,1.94602156651253,-0.890117918517108
48,15,-15,1.247271967,-0.357154049,1.530521035,-0.588245809,1.41806974251482,1.11022302462516e-16
49,15,0,0.890117919,0.890117919,1.095671177,0.896273792,0.890117918517108,0.890117918517108
50,15,15,0.53296387,2.137389886,0.849936128,1.984530926,0.362166094519398,1.78023583703422
51,15,30,0.175809821,3.384661853,0.70005995,3.367728472,-0.165785729478311,2.67035375555132
52,15,45,-0.181344228,4.631933821,0.116343871,4.800578117,-0.693737553476021,3.56047167406843
53,15,60,-0.538498277,5.879205788,-0.023792226,5.984876156,-1.22168937747373,4.45058959258554
54,30,-60,3.231562921,-3.231562921,4.007474422,-3.243204355,3.89204313302505,-1.78023583703422
55,30,-45,2.86873115,-1.978613231,3.417280912,-2.047384977,3.36409130902735,-0.890117918517108
56,30,-30,2.505899379,-0.725663542,2.970667839,-0.942973554,2.83613948502964,2.22044604925031e-16
57,30,-15,2.143067608,0.527286148,2.775898695,0.122516274,2.30818766103193,0.890117918517108
58,30,0,1.780235837,1.780235837,1.907286882,1.787069559,1.78023583703422,1.78023583703422
59,30,15,1.417404066,3.033185527,1.767476678,3.00007534,1.25228401303651,2.67035375555132
60,30,30,1.054572295,4.286135216,1.571403027,4.326114655,0.724332189038797,3.56047167406843
61,30,45,0.691740524,5.539084905,1.121333241,5.715900421,0.196380365041087,4.45058959258554
62,30,60,0.328908753,6.792034595,0.600201964,6.845659256,-0.331571458956623,5.34070751110265
63,45,-60,4.143633599,-2.363397762,4.978809357,-2.839399815,4.78216105154216,-0.890117918517107
64,45,-45,3.775313638,-1.104959882,4.65532589,-1.776625633,4.25420922754445,4.44089209850063e-16
65,45,-30,3.406993677,0.153477997,4.202010155,-0.598428071,3.72625740354674,0.890117918517108
66,45,-15,3.038673716,1.411915876,3.865060329,1.039920092,3.19830557954903,1.78023583703422
67,45,0,2.670353756,2.670353756,3.20305109,2.266777515,2.67035375555132,2.67035375555132
68,45,15,2.302033795,3.928791635,2.998764277,3.989051819,2.14240193155361,3.56047167406843
69,45,30,1.933713834,5.187229514,2.681423664,5.13064909,1.61445010755590,4.45058959258554
70,45,45,1.565393873,6.445667393,1.601074934,6.4114995,1.08649828355819,5.34070751110265
71,45,60,1.197073912,7.704105273,1.386417985,7.755186081,0.558546459560485,6.23082542961976
72,60,-60,5.054946148,-1.494474474,6.012107849,-2.077738285,5.67227897005927,4.44089209850063e-16
73,60,-45,4.681327529,-0.230737937,5.875476837,-1.048734784,5.14432714606156,0.890117918517108
74,60,-30,4.307708911,1.0329986,5.16217804,-0.028019905,4.61637532206385,1.78023583703422
75,60,-15,3.934090292,2.296735137,4.709568501,1.839551926,4.08842349806614,2.67035375555132
76,60,0,3.560471674,3.560471674,4.460724831,3.114268303,3.56047167406843,3.56047167406843
77,60,15,3.186853056,4.824208211,4.1698246,4.76166153,3.03251985007072,4.45058959258554
78,60,30,2.813234437,6.087944748,3.826543331,5.887816906,2.50456802607301,5.34070751110265
79,60,45,2.439615819,7.351681285,2.609381676,7.205798149,1.97661620207530,6.23082542961976
80,60,60,2.0659972,8.615417822,2.441608667,8.811442375,1.44866437807759,7.12094334813686
